Ref.No,X1,X2,X3,X4,X5,X6,X7,Y
22478,150000,2,5,2,36,1,-2,0
15509,50000,1,3,1,44,-1,-1,0
15838,130000,2,1,2,27,0,-1,0
20962,50000,1,1,2,31,2,0,0
23205,340000,2,1,2,36,-1,-1,0
23380,130000,2,1,2,32,0,0,0
22105,100000,2,2,2,29,0,0,0
167,370000,1,1,2,50,-2,-2,0
5840,80000,2,1,2,25,-2,-2,0
3088,310000,1,2,2,29,2,2,0
6341,80000,2,2,2,25,0,0,0
3806,140000,2,2,1,27,1,2,0
13774,240000,2,1,2,30,-1,-1,0
8858,190000,1,1,2,29,1,-1,1
13211,50000,2,2,2,23,0,0,0
263,160000,2,1,1,38,-1,-1,0
7471,170000,2,2,2,28,0,0,0
16068,80000,2,2,2,31,0,0,0
23521,200000,2,2,1,36,-2,-2,0
10567,80000,1,3,1,52,-1,0,0
8816,30000,1,2,2,24,0,0,1
5562,50000,1,2,1,33,0,0,1
4555,160000,1,1,2,48,-1,2,1
12600,150000,1,3,1,38,0,0,0
23264,130000,2,2,2,37,2,2,1
13803,50000,1,3,2,46,1,2,1
13002,60000,2,1,2,26,-2,-2,0
20372,20000,1,3,2,23,0,0,1
18452,170000,2,2,2,24,0,0,0
21536,50000,2,1,2,22,2,2,1
12406,10000,1,3,2,22,0,0,0
10555,20000,1,1,2,25,0,0,0
11519,100000,1,3,1,56,0,0,0
1638,30000,2,3,2,40,2,2,0
22966,380000,2,1,1,33,0,0,0
1312,20000,1,2,2,24,3,2,0
10789,40000,1,2,2,27,0,0,0
12947,140000,1,1,2,34,2,2,1
16176,340000,2,2,1,36,0,0,0
3350,480000,1,1,2,33,1,-2,0
18397,20000,2,1,2,24,-2,2,1
8687,150000,2,1,2,33,1,-2,0
12523,20000,2,2,1,48,0,0,0
6948,150000,1,3,1,64,0,0,0
1648,220000,1,2,1,44,0,0,0
1364,150000,2,1,2,25,1,-2,0
23477,480000,2,1,2,32,-2,-2,0
3206,200000,1,1,2,34,1,-2,1
6836,190000,2,1,1,31,-1,3,0
21821,30000,2,1,2,27,0,0,0
22890,280000,2,2,1,42,-2,-2,0
8239,110000,2,1,2,29,2,0,1
11974,20000,2,2,2,23,0,0,0
1297,50000,1,2,2,29,1,2,0
17054,20000,2,2,2,22,0,0,1
6293,470000,2,1,2,40,0,0,1
3970,90000,2,2,2,26,0,0,0
5963,300000,2,1,1,54,-1,-1,0
2127,210000,2,1,2,30,1,2,0
12324,140000,1,3,2,26,0,0,0
5925,340000,2,2,2,31,4,3,1
11759,60000,2,2,2,57,0,0,0
7022,210000,2,2,2,43,0,0,0
19972,130000,2,2,1,41,0,0,0
14833,120000,2,2,1,41,2,0,1
7028,270000,2,1,2,27,-1,0,0
20858,200000,1,3,1,41,0,0,1
8126,300000,2,2,1,50,0,0,0
3791,250000,1,1,1,46,-1,-1,1
14247,100000,1,1,2,26,0,0,0
10395,230000,1,1,2,28,-1,-1,0
21823,180000,2,3,2,26,-1,2,0
9692,130000,2,1,2,29,-1,3,0
23813,200000,2,3,1,67,0,0,0
7787,90000,2,2,2,25,2,2,1
2518,230000,2,1,2,28,-2,-2,0
2705,50000,2,3,2,22,0,0,0
23233,230000,2,2,2,35,-2,-2,1
14237,400000,1,1,2,32,0,0,0
15687,170000,1,2,2,29,0,0,0
16137,220000,2,2,1,37,1,2,0
4641,150000,1,2,2,31,3,2,0
19189,420000,2,2,1,37,-2,-2,0
15743,70000,2,2,2,26,0,0,0
9573,200000,2,1,1,33,-2,-2,0
15213,360000,2,1,2,27,1,-2,1
4455,30000,2,1,2,22,0,0,1
21562,30000,2,2,1,23,2,0,0
5554,400000,2,2,1,44,1,-2,0
5091,60000,2,2,1,29,0,0,0
2871,50000,2,1,2,25,0,0,0
10832,80000,2,1,1,36,-1,-1,0
6479,50000,1,3,2,29,0,0,1
21445,110000,2,1,2,28,0,0,0
20957,290000,1,2,2,30,0,0,0
23173,50000,2,2,2,48,-1,0,0
7756,60000,2,2,2,29,-1,2,0
3999,20000,2,1,2,23,2,2,1
7113,250000,2,1,1,30,-1,-1,1
2944,20000,1,2,2,24,0,0,0
22018,170000,2,1,2,27,-1,-1,0
18580,30000,2,2,2,25,1,2,0
3794,430000,2,1,1,33,-2,-2,0
7884,180000,1,2,1,30,0,0,0
11546,110000,1,2,1,32,0,0,0
22815,50000,2,2,3,44,-1,-1,0
22088,500000,2,2,2,28,-1,0,0
8350,80000,2,1,2,29,0,0,0
18144,500000,1,1,2,30,-2,-2,0
3361,150000,2,2,1,42,0,0,0
8952,20000,1,3,1,28,1,-2,0
5520,80000,2,2,1,47,0,0,0
5455,80000,2,3,2,31,0,0,0
16580,20000,1,1,2,29,0,0,0
17011,20000,2,2,2,23,0,0,0
1779,50000,1,2,2,26,0,0,0
14248,210000,2,1,2,33,0,0,1
17753,150000,2,2,3,54,0,0,0
22661,480000,2,3,1,40,-2,-2,0
13903,180000,2,3,1,43,1,-1,1
21439,150000,2,2,2,30,0,0,0
19414,190000,2,1,2,47,-1,-1,0
15391,150000,2,2,1,49,-1,-1,0
9504,10000,1,5,2,35,3,2,0
15602,90000,2,2,2,23,0,0,0
5396,490000,2,2,1,52,-1,-1,0
20282,30000,2,2,1,50,2,2,1
13076,50000,1,1,2,29,-1,-1,0
16407,360000,2,2,2,37,-1,-1,1
3129,140000,2,2,2,35,1,2,0
20012,170000,2,3,2,33,2,0,0
9772,310000,2,1,1,30,0,0,0
8255,30000,1,1,2,22,0,-1,0
11144,180000,2,2,2,34,0,0,0
6363,20000,1,3,2,32,1,2,0
1337,70000,2,2,2,26,2,2,1
15239,260000,2,2,2,34,0,0,0
9355,50000,1,3,2,43,0,0,0
2839,160000,2,1,2,34,0,0,0
9803,20000,2,2,2,22,0,0,0
12922,150000,1,2,2,26,2,2,0
19140,260000,2,2,1,37,1,1,0
4832,280000,1,1,1,42,0,0,1
6915,100000,1,2,2,27,2,0,1
3018,30000,1,3,2,36,0,0,1
6629,380000,1,2,1,31,-1,-1,0
5832,140000,1,1,1,34,2,2,1
4666,470000,1,3,1,47,0,0,0
7558,50000,1,2,2,46,0,0,1
3720,50000,1,2,2,30,-1,-1,0
14392,260000,2,3,2,33,0,0,0
3565,80000,2,2,1,46,-1,-1,0
4905,30000,2,2,2,22,0,0,0
427,20000,2,3,2,49,2,2,1
10547,30000,2,3,3,56,3,2,1
1043,110000,2,2,1,42,0,0,0
16945,330000,1,2,1,52,0,0,0
22492,50000,2,2,1,35,0,0,1
246,20000,2,2,2,40,0,0,0
23482,100000,2,1,2,30,0,0,0
17215,60000,2,3,2,26,0,0,0
530,20000,2,2,2,21,-1,-1,0
7222,80000,2,3,1,65,0,0,0
23953,20000,1,2,2,25,1,2,1
20297,180000,2,2,1,52,0,0,0
5393,90000,1,2,2,28,2,0,1
948,50000,1,2,1,59,0,0,0
17748,30000,2,3,1,54,2,2,0
2071,120000,2,2,2,29,0,0,0
6074,250000,1,1,1,48,0,-1,1
1414,240000,1,2,1,30,-1,-1,0
15444,80000,1,3,2,28,1,2,1
4279,140000,2,2,2,27,0,0,0
3321,500000,2,1,1,46,-2,-2,0
10755,220000,1,1,2,31,-2,-2,0
15747,30000,2,2,1,23,1,2,0
11455,500000,2,1,1,38,-1,-1,0
12776,170000,2,2,1,42,-1,-1,0
12000,20000,1,2,2,30,1,2,1
19613,500000,2,1,1,29,-2,-2,0
21879,120000,2,1,2,24,0,0,0
18491,40000,2,1,2,26,0,0,1
20279,150000,2,1,1,54,-2,-2,1
20345,120000,2,3,1,63,0,0,0
19524,120000,2,1,2,26,0,0,0
14747,230000,1,1,1,46,-1,-1,1
5590,50000,2,2,1,39,0,0,0
4951,170000,1,1,2,51,0,0,0
9166,260000,1,2,1,34,0,0,0
11433,80000,2,2,1,31,0,0,1
6905,180000,2,4,1,30,0,0,0
18252,150000,1,1,2,52,0,0,0
19216,60000,2,1,2,27,0,0,0
17006,150000,2,1,2,24,1,-1,0
10559,190000,1,2,1,44,0,0,0
13472,80000,1,1,2,26,0,0,0
13729,190000,2,2,2,40,-1,-1,0
18794,120000,2,2,2,29,1,2,0
9320,200000,1,1,1,39,0,0,0
18554,50000,2,1,2,25,0,0,1
1598,110000,2,1,2,29,0,0,0
7324,320000,1,1,1,43,0,0,0
5662,270000,2,2,1,42,-1,-1,0
5411,260000,2,2,1,43,-2,-2,0
11817,50000,1,2,1,62,0,-1,0
13359,150000,1,5,1,36,0,0,0
17951,200000,1,2,1,43,2,3,1
7971,50000,1,1,2,26,-1,0,0
2306,220000,2,1,1,44,-2,-2,0
5965,80000,1,1,2,26,0,0,0
17216,30000,2,2,1,33,0,0,0
9214,200000,2,1,1,37,0,-1,0
13067,20000,1,2,2,31,1,-1,0
20327,390000,2,1,1,53,-1,-1,0
5979,90000,2,2,1,45,-1,-1,0
11760,100000,2,3,1,51,0,0,0
22906,140000,2,2,1,32,0,0,0
2229,60000,2,2,2,29,0,0,0
8189,250000,2,1,1,37,-2,-1,0
7147,290000,1,2,1,37,-2,-2,0
6689,30000,1,2,1,40,1,2,0
22508,120000,2,2,2,40,-1,-1,0
22111,200000,2,1,2,29,-1,-1,0
7720,230000,2,1,2,25,0,0,0
21274,70000,1,3,1,50,2,2,1
23780,180000,2,3,1,64,-2,-2,0
5604,220000,2,2,2,38,0,0,0
13526,310000,2,1,1,47,-2,-2,0
2087,110000,1,2,1,36,2,2,1
10009,360000,2,1,1,48,1,-1,1
18665,80000,2,2,2,28,0,0,0
994,360000,2,1,2,25,0,0,1
18368,80000,2,2,2,23,0,0,0
5351,20000,1,3,2,24,0,0,1
11878,200000,1,2,2,30,0,0,0
11259,250000,1,2,1,38,2,0,1
5839,50000,2,3,2,22,2,2,0
3149,260000,2,1,2,39,0,0,0
6637,80000,2,3,1,41,2,2,1
21485,50000,2,2,2,23,-1,0,0
364,110000,1,1,1,40,1,-2,1
20730,280000,1,3,1,46,-1,-1,0
4045,180000,2,2,1,30,0,0,0
14928,50000,1,2,2,25,-1,2,1
18575,20000,2,1,2,25,0,-1,0
4373,400000,2,1,1,28,0,0,1
13308,50000,1,1,1,33,1,2,0
168,100000,1,2,1,27,-1,2,0
6467,210000,2,2,1,49,1,-2,0
13763,310000,2,1,2,33,0,0,0
23812,50000,2,1,2,61,3,2,1
18265,180000,1,3,2,52,0,0,0
21487,90000,2,1,2,27,0,0,0
16952,170000,1,5,1,56,0,0,0
10332,140000,1,1,2,35,-2,-2,0
19861,30000,2,3,1,26,0,0,0
10167,60000,1,2,2,26,0,0,1
16818,80000,1,3,2,34,0,0,0
16937,360000,1,2,1,50,-2,-2,0
371,180000,1,2,1,36,2,2,1
11504,260000,2,1,1,38,1,-2,0
8416,200000,2,1,1,40,-1,-1,0
16942,20000,1,3,3,59,2,0,1
12211,80000,2,2,1,39,0,0,0
6129,420000,2,1,1,36,-1,-1,0
13493,20000,2,1,1,58,0,0,0
11254,280000,1,1,2,29,0,0,0
22952,240000,2,2,1,32,0,0,0
20495,120000,1,1,2,28,2,2,1
2695,30000,1,2,2,33,1,2,0
6415,140000,2,1,1,33,1,-1,0
22174,80000,2,2,1,27,0,-1,1
9052,70000,2,2,2,25,0,0,1
5632,200000,1,3,2,27,0,0,0
11368,200000,2,1,1,34,1,-2,1
17636,220000,2,2,1,31,0,0,0
2098,130000,2,2,1,47,0,0,0
18275,420000,1,1,1,51,0,-1,0
9470,50000,2,2,2,23,0,0,0
21434,130000,2,5,2,27,0,0,0
9674,320000,1,1,1,39,-1,-1,0
12392,230000,2,2,1,37,2,2,1
20218,150000,2,1,1,51,1,-2,0
2226,60000,1,1,2,31,1,-1,1
20036,250000,2,1,1,32,-2,-2,0
348,50000,2,2,2,29,0,0,1
18718,200000,2,1,2,26,-1,0,0
13403,190000,2,1,1,35,-1,-1,0
5716,280000,2,2,2,35,-2,-2,0
4568,240000,2,1,1,41,0,0,0
3743,280000,2,1,1,34,-1,0,1
7402,20000,1,3,2,23,0,0,0
10424,390000,2,1,2,29,0,0,0
11850,260000,1,1,1,53,-1,3,0
16636,250000,1,1,2,30,0,0,0
12606,60000,1,3,2,29,0,0,0
393,310000,1,2,1,44,0,0,0
22959,210000,2,2,1,46,0,0,0
7530,180000,2,3,2,27,-1,-1,0
22693,180000,2,2,1,32,1,-2,1
8980,190000,2,2,1,34,0,0,0
9782,30000,1,1,2,34,2,2,1
4836,130000,2,2,1,39,0,0,0
16781,210000,1,1,2,40,-1,-1,1
1720,50000,2,3,1,40,2,2,1
13575,60000,1,1,2,37,0,0,0
19587,80000,2,2,2,30,0,0,0
4255,60000,2,2,1,25,0,0,0
18799,110000,2,2,1,29,0,0,0
15129,30000,1,3,2,52,1,2,0
23742,200000,2,1,1,54,-2,-2,1
23088,100000,2,2,1,36,2,2,1
8181,140000,1,2,1,28,0,0,1
5824,50000,2,2,2,43,-1,0,0
19512,210000,2,1,2,29,0,0,0
13031,130000,2,2,2,31,0,0,0
22840,120000,2,3,1,38,0,0,0
22110,150000,2,2,1,30,0,-1,0
13103,90000,2,2,1,28,-1,0,1
17392,240000,2,2,1,43,0,0,0
1253,20000,2,1,2,22,0,0,0
8375,450000,1,1,1,40,-1,-1,0
22926,200000,2,5,1,43,0,0,0
19338,100000,2,3,1,44,0,0,1
12951,50000,2,2,2,30,-1,-1,0
11118,350000,1,1,2,31,0,-1,0
12033,360000,1,2,1,43,-1,-1,0
7781,70000,2,2,1,28,0,0,1
14769,440000,1,1,2,30,-2,-2,0
19841,90000,2,2,1,32,0,0,0
16110,200000,2,1,2,31,0,0,0
7639,20000,1,3,2,32,0,0,0
4035,20000,1,2,1,50,0,0,0
19028,30000,2,2,1,30,0,0,0
21677,50000,2,1,2,23,0,0,0
2397,200000,1,2,1,29,0,0,0
17519,220000,2,1,1,33,0,0,0
14418,400000,2,1,2,30,-1,-1,0
14613,50000,1,3,2,23,0,0,0
20312,50000,2,3,1,54,0,0,0
15233,210000,2,1,2,34,-1,-1,0
9622,110000,2,1,2,25,-2,-2,0
17785,30000,2,2,1,55,0,0,1
13143,180000,2,2,1,29,0,0,0
9317,120000,2,2,2,25,1,-2,1
16349,500000,2,1,2,34,-2,-2,0
16839,30000,1,2,2,43,2,2,1
18574,250000,2,2,2,24,-2,-2,1
7400,40000,2,1,2,26,2,2,1
10506,50000,1,2,2,25,0,0,0
4653,210000,1,1,2,30,-1,-1,0
19582,400000,2,1,2,31,-1,-1,0
5496,100000,2,1,2,36,0,0,0
17697,210000,2,2,2,41,0,0,0
13983,240000,1,2,1,44,0,0,0
14688,50000,1,1,2,57,0,0,0
15554,200000,1,1,1,42,-2,-2,0
20392,20000,1,2,2,24,0,0,0
10040,200000,2,2,1,27,0,0,0
4688,250000,1,1,2,30,-2,-2,0
13474,150000,1,2,2,37,0,0,0
18456,280000,2,2,2,26,0,0,0
4667,80000,2,3,1,52,0,0,0
1334,80000,1,2,1,41,-2,-2,0
16855,270000,1,1,2,35,1,-2,0
5804,80000,2,2,2,24,0,0,0
5743,30000,2,3,2,59,2,2,1
8361,130000,2,3,1,45,1,-1,0
4181,80000,2,3,1,50,0,0,0
22346,240000,2,1,2,28,1,2,0
1741,140000,1,1,1,54,0,0,1
18740,300000,2,1,2,26,-2,-2,0
13800,20000,1,2,2,24,0,0,0
8957,500000,1,1,1,45,-1,-1,0
7828,120000,2,2,1,25,0,0,0
15006,60000,2,2,2,34,1,2,0
4983,300000,2,1,2,33,1,-2,0
8207,50000,1,3,1,45,0,0,0
13618,30000,1,3,2,29,0,0,0
5620,90000,2,2,2,23,0,0,0
15117,50000,1,1,3,51,0,0,0
23704,240000,2,3,1,51,0,0,0
11862,50000,2,1,2,25,-1,-1,0
17463,190000,2,2,1,46,0,0,0
20954,140000,1,2,2,41,0,0,0
13227,20000,2,3,3,53,0,0,0
16067,50000,2,2,1,39,3,3,1
16122,20000,2,2,3,30,1,2,1
20103,150000,2,1,1,37,-2,-2,0
9240,300000,2,2,1,31,-1,-1,0
176,130000,1,3,1,56,1,2,1
17037,140000,2,2,2,24,0,0,0
15640,270000,2,2,1,32,2,0,0
5951,100000,2,2,1,41,0,0,0
6337,430000,2,1,2,29,0,0,0
9987,160000,2,1,1,37,-1,-1,0
4736,500000,1,2,1,48,-1,-1,0
17691,360000,2,1,1,42,0,0,0
4171,140000,1,1,2,27,-1,-1,0
16620,320000,1,1,1,35,0,0,0
13991,100000,2,1,2,47,0,0,0
3524,200000,2,2,1,30,-2,-2,0
19609,150000,2,4,2,29,0,0,0
7665,120000,2,1,2,27,-1,-1,0
7934,50000,2,2,1,26,0,0,0
2917,20000,1,3,2,26,8,7,0
153,350000,1,1,2,41,1,-1,0
14907,20000,1,2,2,24,0,0,0
22264,200000,2,2,2,29,-1,-1,0
2832,110000,2,2,1,42,-1,-1,0
13332,80000,2,2,2,31,0,0,1
20749,360000,1,2,1,34,0,0,0
19540,150000,2,1,2,31,-2,-2,0
20007,50000,2,2,2,43,0,0,0
11065,220000,1,1,2,25,1,2,0
6345,190000,2,2,2,27,2,2,1
5592,30000,2,3,2,49,0,0,0
16315,130000,2,3,2,37,0,0,0
17981,160000,1,2,1,36,0,0,0
3630,120000,1,3,1,38,0,0,0
1048,140000,2,3,2,24,1,2,1
19897,240000,2,3,2,35,0,0,0
11892,140000,2,1,2,35,-1,2,0
19266,150000,2,2,1,35,0,0,1
606,50000,1,1,2,34,1,2,0
15754,80000,2,1,2,22,0,-1,0
8065,20000,2,2,1,51,-1,-1,0
23303,300000,2,2,1,42,0,0,0
17814,50000,1,2,2,24,0,0,0
10777,360000,1,1,2,49,1,-2,0
14014,150000,1,2,1,37,0,0,1
16028,30000,2,2,2,41,1,2,0
21727,50000,2,1,2,22,2,2,1
16493,100000,1,2,2,23,0,0,0
6742,40000,2,2,2,27,0,0,0
18461,50000,2,1,2,23,0,0,0
3918,260000,1,1,1,37,0,0,1
14329,500000,2,2,1,64,1,-1,1
16418,280000,2,2,2,43,0,0,0
798,50000,2,1,2,22,0,0,0
1224,150000,2,2,1,42,-1,-1,1
23872,360000,1,1,2,29,-2,-2,0
21065,300000,1,1,2,40,1,-2,0
19667,220000,2,2,2,41,0,0,0
19857,230000,2,1,1,47,-2,-2,0
17730,220000,2,2,1,51,0,0,0
3118,110000,2,1,2,27,0,0,0
22469,30000,2,2,1,44,0,0,1
993,80000,2,2,2,27,0,0,0
19295,200000,2,2,2,36,0,0,0
3987,500000,1,1,1,39,0,0,0
15208,60000,2,1,2,27,0,0,1
17283,130000,2,3,1,37,-2,-2,1
23509,200000,2,1,2,31,-1,2,0
22520,500000,2,1,1,36,-2,-2,0
3748,200000,1,1,1,43,-1,-1,0
16248,50000,2,2,1,38,2,0,1
23518,200000,2,2,2,34,0,-1,0
11770,130000,1,5,1,44,0,0,1
21618,130000,2,2,1,23,-1,-1,1
3966,210000,2,2,1,33,0,0,0
6175,110000,2,1,1,32,2,2,1
15813,120000,2,1,2,28,0,0,0
7570,80000,2,2,2,22,0,0,0
18133,450000,1,1,1,45,0,0,0
14592,80000,1,2,2,28,0,-1,0
1889,90000,2,2,1,32,1,2,0
18478,60000,2,2,2,25,-1,-1,0
2792,20000,1,1,2,33,0,0,0
19094,150000,2,3,1,45,0,0,0
3589,210000,2,1,1,40,-2,-2,0
6562,280000,1,1,1,63,-2,-2,0
11348,130000,1,3,1,48,0,0,0
5561,100000,2,2,2,28,0,0,0
12633,340000,2,2,2,27,-1,-1,0
19828,70000,2,2,2,33,0,-1,0
6854,290000,1,3,2,34,0,0,1
137,150000,1,1,2,27,0,0,0
13307,100000,1,2,2,26,0,0,0
10773,50000,2,1,2,23,1,2,0
19610,350000,2,2,1,38,0,0,0
5603,50000,2,1,2,29,0,0,0
19519,100000,2,2,1,29,-1,-1,0
23019,190000,2,4,1,34,-1,-1,0
17903,30000,1,2,2,28,1,-2,0
2909,100000,1,2,2,35,-1,2,1
19594,230000,2,1,1,40,-1,-1,0
9624,30000,2,3,2,23,-1,-1,0
490,260000,2,1,1,34,-1,-1,0
1776,80000,2,2,1,37,2,2,1
14325,60000,1,1,2,26,0,0,0
11388,200000,2,1,1,35,-1,2,1
8677,480000,2,1,1,60,-1,-1,0
9518,50000,1,2,2,24,1,2,1
4234,60000,2,2,1,30,-1,0,0
8762,150000,2,1,1,34,1,-2,0
8641,200000,1,1,2,28,-1,-1,0
5137,50000,1,2,1,28,2,0,1
22036,230000,2,2,2,28,-1,-1,0
7501,500000,2,1,2,30,1,-1,0
14108,360000,1,1,1,29,0,0,0
6211,50000,2,2,1,34,2,2,0
7399,80000,2,1,2,32,-1,-1,0
10762,180000,1,1,2,27,-1,-1,1
7829,50000,1,2,2,26,0,0,0
14058,360000,2,1,1,28,0,0,0
11952,280000,1,1,2,32,0,0,0
4058,10000,2,3,1,24,0,0,0
5792,280000,2,1,1,30,0,0,0
15815,30000,2,2,1,27,-1,-1,0
6676,240000,2,2,1,32,1,-2,0
17841,10000,1,2,2,23,0,0,1
327,220000,2,2,1,41,-1,2,1
12848,350000,2,2,1,38,-1,-1,0
15546,270000,1,1,1,37,2,0,1
22734,190000,2,3,1,47,1,2,0
20504,240000,1,2,2,29,0,0,0
3485,100000,1,2,2,27,0,0,0
16736,50000,1,2,1,30,0,0,0
10785,80000,2,2,1,33,2,2,0
12351,20000,1,2,2,21,0,0,0
18707,100000,2,3,1,28,2,2,0
22019,80000,2,2,2,27,0,0,0
17182,160000,2,1,2,28,0,-1,0
3481,200000,1,1,2,27,-1,-1,0
10728,50000,2,2,1,31,0,0,0
19431,160000,2,2,2,38,-2,-2,0
15360,250000,2,2,1,31,1,-2,0
7154,150000,2,2,1,37,0,0,0
20072,270000,2,1,2,36,0,0,0
5841,110000,2,2,2,26,0,0,0
22451,80000,2,2,2,38,0,0,0
23874,80000,1,1,2,27,0,0,0
13566,340000,2,1,1,38,-1,-1,0
6245,280000,1,1,2,28,0,0,0
10967,200000,2,1,1,42,0,0,0
5991,220000,1,1,1,45,1,2,0
17378,210000,2,1,1,38,1,-2,0
1680,50000,2,2,2,24,0,0,0
22601,180000,2,6,2,47,0,0,1
17545,20000,2,2,1,35,2,0,1
4044,160000,2,2,1,34,-1,-1,1
3256,10000,1,3,2,22,0,0,0
184,60000,2,2,1,24,0,0,1
9933,20000,1,2,2,22,1,3,1
22271,280000,2,1,2,33,0,0,0
19882,230000,2,1,2,38,-2,-2,0
1233,50000,1,1,1,47,0,0,0
23793,50000,2,2,1,58,0,0,0
1964,20000,1,2,2,32,0,0,0
19014,160000,2,3,1,31,-2,-2,1
6206,490000,1,3,1,28,0,0,0
6798,320000,1,2,2,34,0,0,0
5466,80000,2,2,2,34,1,-1,0
9173,270000,1,2,1,51,0,0,0
12402,340000,2,1,1,40,-1,-1,0
11173,60000,2,3,2,26,0,0,0
15938,50000,2,2,2,26,1,2,0
8409,50000,1,3,1,30,0,0,1
3848,170000,1,3,1,48,0,0,0
17206,170000,2,2,2,28,0,0,0
9672,170000,1,1,2,48,2,2,0
14128,150000,1,1,2,28,0,0,1
21527,200000,2,1,2,26,0,0,0
15475,230000,1,2,1,45,0,0,0
21502,50000,2,1,2,29,1,-2,0
8498,50000,1,2,2,26,0,0,0
16478,80000,2,2,1,54,2,2,1
5242,140000,2,1,2,31,0,0,0
22428,180000,2,2,1,34,0,-1,0
14595,200000,2,1,1,33,-1,-1,0
8446,50000,1,2,1,36,0,0,0
12541,130000,1,1,2,37,0,0,0
7729,180000,2,1,1,35,0,0,0
19997,60000,2,2,1,37,0,0,1
2989,130000,1,2,1,40,0,0,0
18504,50000,2,3,1,24,0,0,0
15500,50000,1,2,2,33,1,2,0
4092,190000,1,2,1,23,0,0,1
18428,50000,2,2,1,24,0,0,0
22530,210000,2,1,1,40,1,2,0
9426,140000,2,2,1,45,0,0,0
4793,20000,1,1,1,44,0,0,0
19696,180000,2,3,1,49,0,0,0
8448,70000,2,2,2,26,0,0,1
18,320000,1,1,1,49,0,0,0
3257,80000,2,2,2,24,2,2,1
20457,360000,1,1,2,27,-2,-2,0
21349,70000,1,1,1,67,1,-1,0
4200,230000,2,2,1,46,-2,-2,0
15470,120000,1,2,2,40,2,2,1
11774,50000,1,2,1,46,0,0,0
22836,360000,2,1,2,30,0,-1,0
23381,130000,2,2,1,32,0,0,0
3992,50000,2,2,2,56,0,0,0
20017,230000,2,1,1,36,-2,-2,0
23662,210000,2,1,1,39,-1,-1,0
22847,40000,2,2,1,49,0,0,0
12744,500000,2,1,1,46,-2,-2,0
833,470000,2,2,1,27,0,0,1
11637,50000,1,2,2,27,0,0,1
6959,280000,2,1,2,27,-1,-1,0
2708,60000,2,2,2,24,0,0,0
18691,240000,2,1,2,25,1,-1,0
2958,120000,2,3,2,32,0,0,0
7341,240000,2,1,2,28,0,0,0
20806,30000,1,2,1,37,0,0,1
7037,140000,1,1,2,35,-1,-1,0
17181,150000,2,1,2,28,2,2,1
2980,220000,1,1,2,33,-2,-2,0
18435,150000,2,2,2,23,-1,-1,0
20734,50000,1,2,1,41,1,4,1
893,80000,2,2,1,32,0,0,0
2234,120000,2,3,1,50,0,0,0
20900,80000,1,2,2,27,1,-2,0
17220,80000,2,2,2,25,0,0,1
14530,240000,1,3,1,38,0,0,0
12521,200000,1,1,2,33,0,0,1
18251,30000,1,2,2,52,2,2,1
12603,70000,2,2,2,23,0,0,0
18873,100000,2,1,2,27,1,-1,0
20787,490000,1,2,1,34,0,0,0
2573,200000,2,1,1,41,-2,-1,0
15657,150000,2,3,1,46,0,0,0
7040,170000,2,2,1,25,0,-1,0
9218,180000,2,2,2,23,0,0,1
17615,80000,2,3,1,30,2,2,1
9876,150000,2,2,1,34,-2,-2,0
11521,420000,2,1,2,41,0,0,0
19427,180000,2,2,2,43,0,0,0
15840,160000,2,2,2,27,1,2,0
6979,170000,1,1,2,30,-1,2,0
16735,20000,1,3,1,40,0,0,0
4728,60000,2,3,2,45,-1,-1,1
11968,20000,1,3,2,29,-1,-1,0
9816,50000,2,1,1,35,1,2,0
12115,420000,2,2,2,37,1,-1,0
10095,170000,1,2,2,31,0,0,0
3836,400000,2,1,2,30,-1,-1,0
14819,230000,1,1,2,26,-1,-1,0
13516,20000,2,3,2,24,1,-1,1
8042,120000,1,1,1,50,2,2,1
723,180000,2,1,2,27,1,-1,0
1346,120000,2,1,2,35,1,2,0
1409,220000,2,2,2,25,0,0,1
9328,230000,2,1,2,28,-1,-1,0
19793,320000,2,1,1,45,1,-2,0
14500,60000,2,2,2,24,1,2,0
3335,280000,1,1,1,50,-1,-1,0
19725,270000,2,2,2,28,0,0,0
10603,50000,2,3,1,36,0,0,0
8381,230000,2,2,2,29,0,0,0
2399,130000,1,1,2,29,0,0,0
8053,90000,1,3,2,32,0,0,0
16972,50000,1,3,2,58,-1,0,0
6792,20000,1,2,2,22,1,-2,0
15820,300000,2,1,2,27,1,-2,0
6284,150000,1,3,1,29,0,0,0
8327,180000,2,2,1,28,-2,-2,0
17157,420000,2,2,2,26,-2,-2,0
7856,20000,2,2,2,22,0,0,0
16661,360000,1,1,2,34,-2,-2,0
17975,20000,1,2,1,35,1,2,0
1747,140000,2,2,2,29,-2,-2,0
22414,50000,2,2,2,37,1,2,0
2874,470000,2,2,2,33,0,0,0
16999,80000,2,1,2,23,-1,-1,0
21633,130000,2,3,2,26,0,0,0
5352,500000,1,1,1,36,-1,-1,0
3854,20000,1,3,2,28,2,0,0
17308,360000,2,2,2,36,-2,-2,1
3175,100000,2,2,2,23,-2,-2,0
19662,120000,2,2,2,39,-1,-1,0
13375,270000,2,1,1,35,2,0,0
2114,50000,1,2,2,33,0,0,1
4590,170000,1,1,2,36,0,0,0
312,180000,2,2,1,34,0,0,0
19923,110000,2,2,2,31,0,0,1
8870,240000,1,1,1,44,-1,-1,1
18253,100000,1,1,1,60,0,0,1
